Unnamed: 0,question,answer,cleaned_question
0.0,"hi, how are you doing?",i'm fine. how about yourself?,hi how are you doing
1.0,i'm fine. how about yourself?,i'm pretty good. thanks for asking.,im fine how about yourself
2.0,i'm pretty good. thanks for asking.,no problem. so how have you been?,im pretty good thanks for asking
3.0,no problem. so how have you been?,i've been great. what about you?,no problem so how have you been
4.0,i've been great. what about you?,i've been good. i'm in school right now.,ive been great what about you
5.0,i've been good. i'm in school right now.,what school do you go to?,ive been good im in school right now
6.0,what school do you go to?,i go to pcc.,what school do you go to
7.0,i go to pcc.,do you like it there?,i go to pcc
8.0,do you like it there?,it's okay. it's a really big campus.,do you like it there
9.0,it's okay. it's a really big campus.,good luck with school.,its okay its a really big campus
10.0,good luck with school.,thank you very much.,good luck with school
11.0,how's it going?,i'm doing well. how about you?,hows it going
12.0,i'm doing well. how about you?,"never better, thanks.",im doing well how about you
13.0,"never better, thanks.",so how have you been lately?,never better thanks
14.0,so how have you been lately?,i've actually been pretty good. you?,so how have you been lately
15.0,i've actually been pretty good. you?,i'm actually in school right now.,ive actually been pretty good you
16.0,i'm actually in school right now.,which school do you attend?,im actually in school right now
17.0,which school do you attend?,i'm attending pcc right now.,which school do you attend
18.0,i'm attending pcc right now.,are you enjoying it there?,im attending pcc right now
19.0,are you enjoying it there?,it's not bad. there are a lot of people there.,are you enjoying it there
20.0,it's not bad. there are a lot of people there.,good luck with that.,its not bad there are a lot of people there
21.0,good luck with that.,thanks.,good luck with that
22.0,how are you doing today?,i'm doing great. what about you?,how are you doing today
23.0,i'm doing great. what about you?,"i'm absolutely lovely, thank you.",im doing great what about you
24.0,"i'm absolutely lovely, thank you.",everything's been good with you?,im absolutely lovely thank you
25.0,everything's been good with you?,i haven't been better. how about yourself?,everythings been good with you
26.0,i haven't been better. how about yourself?,i started school recently.,i havent been better how about yourself
27.0,i started school recently.,where are you going to school?,i started school recently
28.0,where are you going to school?,i'm going to pcc.,where are you going to school
29.0,i'm going to pcc.,how do you like it so far?,im going to pcc
30.0,how do you like it so far?,i like it so far. my classes are pretty good right now.,how do you like it so far
31.0,i like it so far. my classes are pretty good right now.,i wish you luck.,i like it so far my classes are pretty good right now
32.0,it's an ugly day today.,i know. i think it may rain.,its an ugly day today
33.0,i know. i think it may rain.,"it's the middle of summer, it shouldn't rain today.",i know i think it may rain
34.0,"it's the middle of summer, it shouldn't rain today.",that would be weird.,its the middle of summer it shouldnt rain today
35.0,that would be weird.,"yeah, especially since it's ninety degrees outside.",that would be weird
36.0,"yeah, especially since it's ninety degrees outside.","i know, it would be horrible if it rained and it was hot outside.",yeah especially since its ninety degrees outside
37.0,"i know, it would be horrible if it rained and it was hot outside.","yes, it would be. ",i know it would be horrible if it rained and it was hot outside
38.0,"yes, it would be. ",i really wish it wasn't so hot every day. ,yes it would be 
